project,file,line,column,severity,rule_id,message,category
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\BlankLineViolation.cs,1,1,warning,SA1633,The file header is missing or not located at the top of the file. (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1633.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\BlankLineViolation.cs,8,6,warning,SA1513,Closing brace should be followed by blank line (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1513.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\BracesViolation.cs,1,1,warning,SA1633,The file header is missing or not located at the top of the file. (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1633.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\BracesViolation.cs,3,14,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\BlankLineViolation.cs,3,14,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\PublicFieldViolation.cs,3,14,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\BlankLineViolation.cs,9,1,warning,SA1516,Elements should be separated by blank line (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1516.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\CleanDemo.cs,1,1,warning,SA1633,The file header is missing or not located at the top of the file. (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1633.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\MissingThisPrefix.cs,3,14,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\GenericConstraintViolation.cs,1,1,warning,SA1633,The file header is missing or not located at the top of the file. (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1633.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\PublicFieldViolation.cs,5,16,warning,SA1401,Field should be private (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1401.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\PublicFieldViolation.cs,5,16,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\MissingThisPrefix.cs,1,1,warning,SA1633,The file header is missing or not located at the top of the file. (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1633.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\GenericConstraintViolation.cs,3,14,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\UndocumentedMembers.cs,3,14,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\PublicFieldViolation.cs,1,1,warning,SA1633,The file header is missing or not located at the top of the file. (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1633.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\RegionViolation.cs,4,14,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\RegionViolation.cs,1,1,warning,SA1633,The file header is missing or not located at the top of the file. (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1633.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\RegionViolation.cs,3,1,warning,SA1124,Do not use regions (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1124.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\RegionViolation.cs,6,16,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\MissingThisPrefix.cs,7,17,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\BlankLineViolation.cs,5,16,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\UndocumentedMembers.cs,1,1,warning,SA1633,The file header is missing or not located at the top of the file. (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1633.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\UndocumentedMembers.cs,5,16,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\CleanDemo.cs,11,24,warning,SA1611,The documentation for parameter 'left' is missing (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1611.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\CleanDemo.cs,11,34,warning,SA1611,The documentation for parameter 'right' is missing (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1611.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\CleanDemo.cs,11,12,warning,SA1615,Element return value should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1615.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\BracesViolation.cs,5,16,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\BlankLineViolation.cs,9,16,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\BracesViolation.cs,8,13,warning,SA1503,Braces should not be omitted (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1503.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\GenericConstraintViolation.cs,5,17,warning,SA1600,Elements should be documented (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1600.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.sln,D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\cases\GenericConstraintViolation.cs,5,30,warning,SA1127,Generic type constraints should be on their own line (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1127.md) [D:\Research in Missing Metrics\CSharp\Code Smells Count\workspace\cs_code_smells_benchmark\CodeSmellsBenchmark.csproj],StyleCop
